"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"ATG7",9478,6258,3098,1292,799,3674,3073,2859,2118,4980,2414,1640,2755,2824,4277,3616,1840,2014,2541,2308,5692,2343,3411,2444,2886,5584,2169,5447,4849,3819,2856,1725,3125,2081,3738,2766
"ATG9A",8034,8492,14477,13754,6678,12712,14146,9586,28555,10304,14901,8303,8001,13227,22004,11721,14857,16272,8011,12518,22562,5491,13378,14867,11917,13250,6980,10831,13151,14437,20076,6087,8072,13162,4218,11712
"ATG9B",578,319,3,1594,81,2633,78,362,726,378,98,313,124,142,4368,169,223,622,234,503,2395,903,185,123,105,22727,2934,825,389,26,46,383,203,1949,675,322
"ATIC",13284,16950,16195,11388,10741,18557,30878,21154,12140,19732,23384,10891,15991,20595,52604,30639,29646,13295,16018,29324,45284,21264,33956,15872,21512,20760,15257,16197,19279,26640,29025,17922,60667,20346,12144,34520
"ATL1",1181,2995,64,5664,30,326,1175,82,3105,198,24,63,40,402,123,119,2264,231,96,200,1193,805,41,145,56,1160,317,582,615,31,253,96,88,245,278,114
"ATL2",12924,8902,7398,7861,4011,7080,14393,9172,10738,6858,24832,10701,9273,9293,20393,11385,15576,10774,8480,9477,36247,7705,15215,11892,8399,15334,11816,11692,10878,14710,28682,12520,9820,9437,8218,6968
"ATL3",6003,43331,22459,2130,9569,12805,14067,16937,8145,10879,19818,10082,16486,14819,10406,15589,10513,8538,5092,6595,24027,7338,14546,15260,11930,8573,10204,12692,10293,10026,22485,20770,12874,18721,10621,13579
"ATM",14432,24016,6644,17942,7636,6516,18094,9991,20179,7138,7797,15981,6880,7003,18501,17893,13080,9019,3288,10990,18939,12683,14952,4820,13997,17498,5622,12142,2792,9675,7515,8336,4647,5546,5980,8175
"ATMIN",11894,12305,6642,5267,8941,9934,4618,10888,8810,6648,10429,6911,4423,5654,17394,6814,6177,5905,4001,9093,19321,7691,10372,7754,17230,16552,11484,16049,12710,9047,17621,9205,6960,7910,8060,4442
"ATN1",18851,23057,26229,43709,17510,30390,25137,18834,41972,19982,17883,35226,48302,17011,37408,20784,30119,27371,20538,10338,51666,16532,21282,40670,31457,21016,21154,19051,74949,44400,25526,12883,3612,23402,3254,34676
"ATOH1",0,11,4,0,145,4,2,5,0,33,2,1,0,5,0,1,3,12,4,4847,0,6,0,4,0,4,6,0,1,0,7,5,0,18,0,3
"ATOH7",18,71,2,78,4,3,25,39,120,3,11,0,13,10,6,29,10,19,4,104,69,3,6,2,42,25,15,52,17,4,1,0,14,4,11,8
"ATOH8",35,708,1849,48432,900,15,281,2019,74,2452,8,3822,239,384,21,10333,758,13,7,604,131,36,19,207,1817,33,276,17,1759,12683,701,42,14,4,7,13
"ATOX1",5262,5656,2706,1563,1138,5152,2714,2744,3578,1854,6126,1523,2753,5964,2749,3989,5368,2296,2093,1402,5921,3199,6223,4956,4061,6018,2429,3875,8457,3232,2682,1651,3832,3017,8965,3021
"ATP10A",8,5116,2532,1,31,21,12065,1912,7,0,7,4,2106,1673,1474,4,2,6,2,7,5,2,9,706,3,13,1,15,11,1,4,17,15,1287,2,6945
"ATP10B",117,4,9,10,42,4331,1,16887,64,8619,0,19,1,4,78,79,3,6154,203,2781,977,1057,8305,81,4,97,2624,5,7,1,286,3323,25,11846,16,1769
"ATP10D",3409,13309,2688,2041,1851,30,3165,289,4421,11,291,2575,1415,2598,6621,31,2586,40,439,15,3426,15,1289,119,318,6062,1609,2530,5606,976,793,157,665,714,1464,981
"ATP11A",21983,1537,66,11088,15602,75436,18335,27661,47610,15458,40979,36304,14398,15654,58084,34925,4830,15265,21493,10311,27025,23128,16461,46677,6469,39476,21699,12299,22829,24010,101189,20188,9459,7969,20143,36915
"ATP11A-AS1",14,2,0,12,26,23,22,8,27,13,13,61,2,3,6,14,2,6,3,3,7,4,3,5,0,11,13,8,0,9,28,2,8,9,12,14
"ATP11B",12204,16847,8825,6762,5057,21590,12911,34649,24811,21660,21402,11922,7237,10708,20941,7804,3543,19840,6167,11087,26907,4829,22529,14609,9365,26753,12686,15609,7758,11421,17868,10249,10576,8430,8599,15933
"ATP11C",2555,19807,5536,5743,4470,5017,12564,6211,5500,4137,279,19817,2222,3590,626,2751,11878,3512,10141,5035,12568,5671,18853,8377,33359,2902,2052,4674,1436,9178,13218,4908,6323,4591,13,7292
"ATP12A",123,14,0,66,1,22,68,1,1,1,0,4,2,29,3,4,6,1,0,0,79,2,5,2,0,2511,0,4,141,2,39,6,2,3,19,8
"ATP13A1",10104,13943,6162,14713,4494,23792,8751,13414,12939,9767,22412,10848,7409,17197,7734,9356,19756,11373,8311,11793,21097,11218,14017,14640,17073,13261,6674,7858,6921,18994,23376,5793,5363,16396,5735,15810
"ATP13A2",6431,3216,3283,6182,3477,11568,6108,9656,12918,6726,4583,6944,10372,5822,8380,10953,1543,10114,2306,10018,8357,6190,5632,12781,5209,8136,4876,5921,8827,7390,16385,7526,6416,9909,6738,7194
"ATP13A3",22926,90919,22274,21177,14333,51960,32798,62551,76339,36335,172533,57000,32833,41008,106877,19139,18787,52705,30458,25315,61844,19354,73964,63375,22457,31967,32266,64398,17912,44754,108719,47534,30583,18754,25945,36142
"ATP13A4",7941,187,7,36,3,0,4,122,38,5,0,8,1,31,9,12,7,29,139,383,34,0,0,46,1,23715,6,10,43,24,52,104,0,2,4,2
"ATP13A5",30,4,0,5,1,0,8,0,7,0,0,9,1,8,4,2,2,0,2,18,3,4,0,2,0,97,0,0,3,0,38,4,4,1,0,4
"ATP1A1",69473,57973,56003,55590,23662,154781,36031,174452,78679,58845,205875,85169,77627,82025,64148,176934,57103,119556,138119,62764,161867,89936,377007,139394,105899,124098,179917,68916,105626,36979,162114,177034,48707,84741,37931,52977
"ATP1A2",14,1382,4,22,3,2,35,2,9,1,6,8,13,102,4,5,5,1,1,3,27,0,2,6,6,111,3,44,32,1,34,4,4,0,92,6
"ATP1A3",1207,7248,11,20140,37,395,3055,274,3701,13,4,1068,4574,2124,284,6,871,44,31,1931,367,33,62,14,882,2651,11,283,117,1419,41,5,46,163,420,1217
"ATP1A4",762,8,0,3,2,1,1,3,12,1,0,1,1,5,3,6,0,1,1,5,1,2,4,3,2,2696,0,1,672,4,5,1,4,0,10,4
"ATP1B1",2791,7147,10506,18164,21350,191933,3175,85116,11949,25679,21804,19883,13009,55332,11875,67494,706,68380,65713,8704,26408,15909,34162,49663,208809,4429,74969,6713,15920,681,163398,47111,31052,57272,8592,103261
"ATP1B2",123,5,6,942,2,5,34,4,1971,0,461,47,8,556,16,7,177,9,2,1,17,3,2,20,48,726,1,5,45,4,2,1,3,1,106,3
"ATP1B3",27768,32174,12916,9662,11723,111066,10711,28365,21623,18378,35151,11515,16796,23687,11135,7887,14987,46920,4378,11774,44208,15554,80410,59448,38588,53447,13656,19785,26306,28105,48718,27743,14878,25932,15713,27096
"ATP1B3-AS1",28,22,13,70,17,79,5,27,153,13,17,27,16,33,18,15,9,45,3,17,36,10,37,23,22,51,39,24,4,62,50,20,3,23,4,19
"ATP2A1",281,357,171,521,1127,651,447,603,514,622,245,397,161,304,339,1990,689,342,462,305,3023,387,108,1790,243,311,1528,212,416,5818,398,571,115,895,111,2372
"ATP2A2",110460,59066,62077,39616,41050,89750,59242,73692,109310,55109,99813,87618,44085,65580,55034,36447,34934,75973,44368,58579,98211,57069,88732,85637,33884,88005,45219,43087,69816,95100,129431,68206,37749,53169,26351,45022
"ATP2A3",2208,62,37,44987,655,17751,1162,5642,5659,3272,2865,149,824,1211,193,38,3271,18523,7084,9137,4319,3625,95,13477,9610,3337,2317,154,4480,24,1836,155,39,1197,261,5129
"ATP2B1",17825,17334,35074,7357,9340,13795,10682,14349,17733,12507,13006,15762,13497,29566,10927,10942,9196,17801,20803,22393,18930,2619,13938,12809,17565,13935,12847,7488,13707,12953,18087,10545,10215,11777,10711,11871
"ATP2B2",88,13,12,10664,8,4,10,10,11,14,14328,14,11,79,11,16,3,9,10,8,79,7,6,6,4,10,12,25,18,33,10,4,10,6,4,18
"ATP2B3",35,10,6,965,8,12,14,8,22,9,11,105,12,27,12,4,4485,4,10,6,11,9,27,18,30,21,4,38,15,8,12,2,10,8,10,18
"ATP2B4",24950,41846,26070,4162,10390,117,936,40093,16986,550,11740,9808,15748,42325,11504,5658,23374,3142,3658,1042,29806,617,8775,10053,17316,91628,6191,1626,33935,240,36951,6436,2090,8404,5399,9303
"ATP2C1",16776,32662,20072,16027,14103,29225,15146,20385,16108,28423,18674,22371,23198,16572,16355,17011,9400,28684,14022,13294,44537,13715,16038,23854,12384,17165,14455,36842,23892,17477,67271,25016,12955,20362,15880,27079
"ATP2C2",864,51,50,22,1386,9004,3243,5177,19,3770,8,48,11,21,3151,1142,11,3380,575,8420,3509,248,18,5960,23,1768,17974,1267,6233,27,282,3042,6148,4587,1295,1481
"ATP4A",6,1,0,15,9,11,46,4,8,3,11,19,4,23,23,7,13,1,2,5,12,3,6,11,76,24,13,17,8,10,5,1,6,5,8,4
"ATP6AP1",19142,19048,9759,26206,7029,29307,23330,38050,32111,26029,22661,23395,5207,26365,24804,23922,21440,26457,17115,17901,30956,19198,23161,52821,55319,33029,9603,25177,25828,19412,34428,30590,15725,16391,20072,17637
"ATP6AP2",10033,22005,15189,8092,6257,23794,16149,15557,13120,10680,45497,11640,5693,31961,13484,12414,6016,7540,7558,8564,31320,8677,11739,23206,58326,28171,10995,15043,31353,13785,22768,25804,32312,11760,32084,18992
"ATP6V0A1",8115,7004,1133,10585,4573,9138,6108,7680,22085,8406,11472,14774,3987,6326,9603,5956,3622,6812,5192,5062,17515,9328,14220,6150,7212,11848,5503,7847,5408,12349,7336,6993,3591,6666,4328,5623
"ATP6V0A2",5032,6740,2607,3245,4081,6105,6691,6817,3172,16031,14341,9399,1788,6159,8170,3861,5969,9061,3225,4660,10633,4315,11815,8271,3505,6654,3319,2392,4132,3151,5739,5893,3647,4831,2781,3811
"ATP6V0A4",252,124,104,255,27,2,12819,84211,19,4,52,161,33,171,295,30,2,9,7,5,255,46,6,10,32,624,18,189,104,8,78,95,152,13784,1201,2
"ATP6V0B",4579,11957,8579,8583,5855,18093,6588,15201,36619,6576,13122,2778,9700,13298,19641,18091,12511,19288,6097,15498,21310,8507,21397,14079,10646,8852,6516,11340,11586,22343,12454,9462,7570,18894,5363,10734
"ATP6V0C",9631,8284,9606,11658,6779,31712,13758,13578,30421,16871,11896,15464,16096,11456,25719,13392,11925,22109,15742,8436,30784,21208,21728,24536,25196,20567,9575,24573,30183,22466,17060,12663,7284,18807,9406,6370
"ATP6V0D1",11993,19352,9234,2614,4828,16187,4749,7154,15111,6996,17443,2675,6040,5911,13879,5093,6141,7549,6747,8627,13738,8740,11559,10879,15861,15483,5056,9369,24969,8084,11556,8731,3662,7195,6850,9917
"ATP6V0D2",3,1133,2,1,44,2,3,2,134,0,0,4,2,67,1,5,163,3,0,0,2,4,0,2,0,18,6,4,63,0,13,3,4,0,10,0
"ATP6V0E1",13887,20010,8055,7209,4887,23712,8895,17316,13640,13616,17409,2917,14833,14778,23110,15073,14213,21747,13937,6296,25801,14123,37903,21993,18454,28405,6607,15789,29921,8648,21708,11515,12061,12133,9199,10481
"ATP6V0E2",2938,258,57,9816,47,13312,3831,2175,7335,199,3278,2115,2611,2873,2889,4640,5897,1408,1761,4828,27,1284,2020,20,6015,1896,18,5304,2194,6216,26,14,4569,1791,2605,1636
"ATP6V0E2-AS1",492,122,23,2342,3,67,763,9,750,2,70,156,285,490,1178,60,1178,48,145,137,3,16,14,14,254,202,19,608,221,1931,14,2,160,223,155,86
"ATP6V1A",18701,17208,4465,8589,10337,21316,6234,8214,22988,14211,10202,11046,4056,11270,10822,7422,5147,7719,9034,5012,29123,8088,11952,18228,11041,18779,6208,9450,18944,9372,20056,12163,4498,7815,7914,16483
"ATP6V1B1",2268,84,44,8,160,3,14,1,3608,2,231,32,7,381,80,13,484,54,272,1,5244,8,236,13,518,15488,4,810,481,120,2,22,56,7,631,53
"ATP6V1B2",11204,15590,8713,49052,7701,15453,20296,24564,23832,19017,11308,12324,6489,7877,14387,19250,13758,9906,6942,9556,17543,13990,11359,14522,8194,16754,9357,8158,14669,23210,15628,15579,8930,17748,5343,8183
"ATP6V1C1",9192,29492,10455,7810,5231,15289,11812,15387,16836,8067,9942,15839,10490,10974,25029,13802,2959,19700,5062,5735,28121,8830,10227,10845,7123,21555,5150,24563,5713,17813,11771,11832,10712,9121,7511,10450
"ATP6V1C2",1451,91,162,313,297,155,141,96,116,133,343,349,259,134,173,166,146,244,504,1431,1401,366,118,234,408,970,187,87,74,216,270,527,360,1841,373,166
"ATP6V1D",5384,25984,9365,3657,3550,10719,3143,8200,8989,6434,4520,1874,7158,5471,16010,9224,6992,6367,4957,4146,10569,10032,9139,9849,6402,10772,5606,10917,5524,6980,14840,6567,5868,5998,9168,8875
"ATP6V1E1",9921,26099,6811,5623,6950,13239,6105,13991,12803,6917,22144,2538,14084,11007,44593,15813,9881,12127,7289,7646,17293,14830,14878,13099,9487,21488,6697,12243,24035,14891,14783,26086,11755,7980,8454,12355
"ATP6V1E2",1809,822,828,1273,418,659,2837,1143,146,283,424,703,422,679,1114,672,1262,576,819,529,1663,370,1022,305,1487,840,549,827,1902,1916,599,667,968,1723,539,400
"ATP6V1F",7095,6545,3539,14691,3724,16176,7568,12306,14212,8733,6501,1104,5371,11528,7048,12753,8623,11584,7046,9058,9923,10719,11848,11220,4073,9579,7661,11486,12054,10171,6963,5919,8472,12643,3011,4321
"ATP6V1G1",15944,18324,4082,14872,7708,18091,12003,37967,14864,9618,14869,2576,12146,16609,21445,21608,14109,11510,7602,6106,21178,11816,16327,7341,10303,30749,10658,11642,29195,17056,16365,11878,7653,8002,11032,6517
"ATP6V1G2",74,321,42,676,60,37,36,59,1687,11,16,98,26,108,55,67,70,50,12,85,51,9,30,62,167,53,90,66,55,69,30,4,56,22,151,54
"ATP6V1G3",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,86,0,0,0,0,0,0,0,24,76,0,4,4,0,0,0,0,0,6,3
"ATP6V1H",6018,21503,4049,6005,2619,8853,4808,9156,5565,4374,8294,3911,5107,6165,9296,9765,3277,4804,3721,2576,5153,7689,6735,5223,10658,16068,2519,11045,7952,7763,8584,8202,4254,4217,4405,3511
"ATP7A",1332,5272,882,2276,1142,4565,4757,5442,5299,3665,653,4168,1547,2610,3762,5702,1629,5592,2585,3207,7051,1953,1595,2533,3000,3385,3272,1728,2073,2704,5762,3408,3492,1651,1094,3269
"ATP7B",2547,932,198,3162,2174,15863,4018,11756,1819,3302,18868,7126,1608,2877,388,1779,1040,2999,1258,3164,1968,8936,1072,1739,942,3589,7684,1506,844,11545,3577,2792,1889,1911,2904,2213
"ATP8A1",1400,271,153,1264,5855,355,1958,5755,3517,3251,88,2598,16,1880,63,3839,1438,29,1146,3489,7346,3479,388,7079,70,303,4952,355,42,1450,8631,2137,303,3105,1808,1895
"ATP8A2",1330,156,115,156,33,1,17,7,1277,1,6,313,3,595,333,188,0,5,0,1,283,2,16,63,13,7654,12,32,369,1,221,8,71,1,2168,6
"ATP8B1",3320,10177,331,602,6841,50784,566,33784,19426,47800,3606,3719,2795,3912,6673,8871,132,8194,7047,25867,19673,12206,1375,14726,110,5628,17726,18132,14388,679,2722,18611,7744,4678,9069,8249
"ATP8B2",4096,26037,6930,4317,285,44,8527,1005,20614,23,9930,10292,8173,14471,234,173,14364,116,245,60,1512,44,107,1119,4789,7606,291,184,4234,740,158,172,71,14,4602,238
"ATP8B3",257,2692,587,2832,33,119,34,732,85,163,19,962,1171,1057,54,60,3777,87,1134,26,607,508,2961,250,2161,380,64,514,406,214,3784,579,107,33,266,192
"ATP8B4",68,219,30,21,95,5,47,49,19,27,2,2,25,175,22,85,4,12,18,494,99,36,2,18,419,223,43,4,30,5,61,11,16,190,50,59
"ATP9A",28555,1235,4242,27253,7705,10891,85799,30722,64204,12089,20764,8246,2922,16125,18927,36486,3472,13982,4947,17172,31879,6572,1080,23520,2700,11598,12826,29017,23475,58,77666,15622,5694,13703,6351,52728
"ATP9B",751,2589,13,3782,1250,5205,1841,6250,7126,3866,2026,2947,1512,2461,1398,2568,2023,6784,1468,10344,4356,3652,1940,3271,1644,1384,3207,1043,2058,3480,2742,1642,1632,9504,552,4809
"ATPAF1",3423,5680,3714,3313,2974,4764,2996,7337,7827,4645,12625,6068,2977,5660,3514,8091,7029,5121,3847,6095,11288,2606,7749,4851,5481,4295,3848,6593,4482,9760,5747,7172,3319,4272,3596,5546
"ATPAF2",2215,2609,1748,2270,993,3019,1430,2281,2611,2052,648,745,1137,2015,1255,2019,2575,1350,799,1879,2573,2352,2056,2617,1572,4330,1899,2449,3471,2809,2372,2315,790,3363,1837,3851
"ATR",9655,11056,6170,5779,4404,10391,5317,9129,8272,11923,6229,19264,4986,7780,5828,10103,5991,16836,13953,6404,26369,7356,18786,8601,3000,12050,4169,9308,4801,7127,9180,10391,7138,4880,5461,12422
"ATRAID",8440,8109,7451,9810,2976,11358,8840,11316,7480,3967,9500,1966,5747,5657,9287,9585,8026,7719,5965,6818,13812,6030,11644,8385,24701,10640,10743,6555,22077,7474,9661,12012,6896,12246,10729,4174
"ATRIP",1415,2459,1580,2482,662,2550,627,1740,3213,1020,2290,1201,1027,2191,953,970,3149,1944,1054,1813,1817,923,3139,1445,1950,1951,808,1137,1580,1963,2159,1544,1184,2644,2232,2245
"ATRN",15203,16385,8145,20095,139,2877,17510,23990,22296,5188,34829,33045,10303,21811,16952,18529,8728,17707,7251,10360,24298,6529,11025,10450,30448,71381,14064,44125,43226,18288,26257,10831,15152,11999,26833,8137
"ATRNL1",818,1511,214,3,19,12,1,3,76,0,2,818,0,435,169,0,890,2,3,1,32,7,755,4,15,61,6,48,31,3,8,4,3,0,142,18
"ATRX",13042,22405,6559,23419,10972,22529,45788,15803,18571,14744,16880,26072,9516,16016,13004,18317,23590,17781,20011,10315,26948,14304,10670,9031,16211,13768,12511,14789,7860,18597,26020,12629,15012,9169,8810,16574
"ATXN1",4243,11133,5500,6013,2080,7043,4976,5859,114,4413,5108,6521,1321,15159,5407,8507,2615,7010,2935,5045,10411,3425,4446,9272,965,11821,7330,10055,10512,2211,22675,6902,1455,3378,3394,5536
"ATXN10",11913,15455,15700,14154,5744,18140,12048,15334,21977,9416,37919,7382,12123,10017,10220,8087,20639,11350,7259,16927,33613,12641,18073,14381,11827,19278,8647,32207,18834,11250,23458,11857,10236,9377,15959,7852
"ATXN1L",11259,12107,7270,7055,7671,6559,5051,13031,11586,8936,27640,20635,4283,10198,14692,8250,9130,8922,7275,8590,29607,5929,11549,9665,16604,20470,8927,9468,25530,14007,17208,11176,3536,9037,5941,10404
"ATXN2",12412,9967,8300,5625,7553,6717,8556,8543,16944,6283,7434,13536,4032,13463,16559,6146,4609,7621,6268,5525,17217,5460,6294,9080,5892,7739,4959,13997,6975,12209,8804,3873,4292,6738,4647,3942
"ATXN2L",24551,24208,18541,30150,16755,21926,39471,26091,30471,14930,28984,36160,14479,31788,42574,22663,30147,26349,17449,16477,41275,23175,22474,19465,12110,26890,34761,23796,31818,27798,44079,17545,10292,18789,13626,26460
"ATXN3",3752,5828,2068,3835,1796,2237,2162,3003,2528,2948,1569,1916,2152,4888,4646,3168,3453,1401,915,2816,2892,3162,1295,1772,2939,5753,2756,5582,2174,3226,4288,1066,2092,1589,1867,1860
"ATXN7",3794,8115,3607,5528,3453,10058,4058,5049,5323,7038,2169,7192,2023,4700,6849,3742,2309,3331,5934,3228,5361,1923,7145,3945,4928,10615,3323,7959,3070,9656,6716,2772,2211,3983,3038,4389
"ATXN7L1",1871,1945,561,436,1027,2467,496,1772,33,1768,52,2170,711,1555,2364,2248,1424,1612,1746,2692,1822,1951,3561,1032,3135,1552,1450,2385,710,1973,1543,667,529,2575,343,1119
"ATXN7L2",1623,836,766,2236,752,943,1195,806,2356,285,649,1022,274,857,1036,1381,2394,841,214,2067,5859,1463,731,1157,1493,1036,1040,321,480,2123,1236,646,387,916,265,632
"ATXN7L3",14667,11685,5958,20734,4942,11113,16838,15680,21280,11319,11065,7494,6760,18201,18390,10330,9954,10400,12558,11233,23952,8550,15906,13552,18791,25341,8659,13535,23282,16097,20913,9802,4776,8421,4463,12220
"ATXN7L3B",25885,6647,10990,11070,16330,16718,26318,22230,52190,20614,15296,12605,3202,11892,20280,14047,6762,22445,26929,9652,39373,9156,11574,26089,6283,26258,21372,11119,17903,9231,24765,9547,7815,12032,6508,59331
"AUH",1141,5352,874,2876,2026,2033,979,5804,3150,2602,3027,1299,1720,2415,5835,8002,2056,2045,1676,1497,3941,2311,2290,796,1448,3124,1855,4215,1884,5288,1768,1504,1453,3088,1711,863
"AUNIP",1704,1030,1117,636,509,841,952,1587,1136,528,1428,1185,608,3789,1767,1501,1556,2188,306,3278,2505,1108,535,2316,1162,948,765,3024,2244,3085,2170,2010,1667,1948,2110,2455
"AUP1",12271,12818,8791,11556,5247,14337,18897,18198,13845,13191,13820,5158,11881,9635,23913,17263,17547,14940,13734,16106,31972,6734,21377,20307,21061,21333,12429,9241,18923,22491,18602,17254,25067,18527,17477,17020
"AURKA",16250,33208,11823,9775,4111,7451,10496,12410,14297,5485,30288,9181,33005,17701,19569,18953,11189,16308,4572,10689,22790,5822,16554,23037,18749,9797,4473,20411,38842,21779,32484,23474,36246,12989,33937,23118
"AURKAIP1",18188,8614,9121,5429,3949,9886,5589,9853,14268,5625,11094,1651,7889,10679,6269,6684,11861,14356,5723,11863,11998,7071,16296,11316,9789,7550,5214,9741,11191,16124,8536,6992,7402,9901,7718,10211
"AURKB",7843,16963,16544,15676,2354,3925,9560,5820,8268,3909,6874,1614,7868,9122,3925,7489,14285,10341,2402,5449,6493,4268,4783,19309,8574,3200,2186,10202,16610,11252,13016,6883,11402,8482,10106,11503
"AURKC",139,54,32,291,74,17,53,263,325,41,119,2,126,35,101,57,14,135,38,49,107,42,96,470,53,373,69,42,116,112,137,118,87,98,165,119
"AUTS2",21,10080,1122,57195,2043,16019,6498,7978,8066,10812,23,30,21,1339,1864,24419,6261,5837,10,430,13041,5097,72,5424,13,8913,3095,812,13204,113,4331,10079,110,3857,41,883
"AVEN",890,2736,1708,1767,629,1050,721,1741,1584,1836,1201,823,1392,2221,1367,559,2347,2252,740,1352,1495,2166,1849,1291,704,1977,1188,1241,1563,1371,2081,1936,629,1142,815,1439
"AVIL",591,113,209,633,510,109,197,1037,748,177,58,231,115,93,1431,664,70,35,537,445,325,372,44,274,253,752,780,112,682,490,120,97,26,63,89,171
"AVL9",11448,10083,4666,20250,10003,31818,20082,25473,30306,21880,10715,23535,7657,5694,17178,21180,9763,20974,32341,14776,15850,20576,31741,16092,12368,21851,24380,11111,8959,6134,13358,19501,9019,12828,6282,23271
"AVPI1",843,1246,1545,607,1253,4531,1024,2309,205,1967,2800,607,1115,1419,8671,1073,3209,4375,1921,1762,9746,1074,2925,5163,23184,2782,1740,5227,5848,3436,2485,3035,1074,2748,5516,2300
"AVPR1A",29,0,0,2,1,0,1,0,2,1,0,5,0,4,0,2,0,0,0,2,0,0,0,1,0,2,0,0,2,5,0,35,7,911,126,2
"AVPR1B",7,0,0,93,4,2,0,2,12,2,3,29,1,7,1,2,2,8,17,1,10,1,2,3,1,6,4,5,5,2,2,0,6,5,12,3
"AVPR2",8,8,4,586,3,158,46,2,132,4,3,369,11,46,18,44,23,2,193,26,41,0,1,9,2973,8,27,14,17,8,4,51,12,249,85,281
"AXDND1",39,70,50,12,27,1382,10,292,38,7,11,19,14,30,40,12,15,644,8,34,20,7,46,15,4,47,2,21,12,15,7,49,32,1817,24,365
"AXIN1",6941,3533,3860,6757,3687,5882,13034,15157,8174,10128,6452,10041,6664,17681,14352,6028,7966,13349,8178,9960,20045,12186,13151,11849,14390,8736,9286,10146,15880,8234,9734,9636,4009,9780,4678,2557
"AXIN2",3459,1422,760,29256,19401,1081,73320,48956,13265,136530,128,1631,797,1175,1586,188419,17226,6804,3405,425,198790,18820,52,32300,25,219,19117,1067,80,1602,154136,17554,58,726,8,857
"AXL",5341,60923,88993,127,371,200,186,296,88,58,175,15041,50020,35741,22827,407,3314,159,69,58,384,343,13415,6378,29318,1258,647,55216,14926,103,543,4325,37469,123,133976,407
"AZGP1",11,44,86,469,240,5759,16,9327,20,3406,22,35,2,23,9,1553,10,504,1032,10895,1707,1675,484,1232,9,23,20293,3338,27,7,22,4295,7,137,53,122
"AZI2",4263,18514,3106,4279,1759,3989,7152,3079,5402,4070,3577,1055,3117,4372,10550,4034,1136,1950,2616,2563,2291,2472,3888,2934,2704,4340,3151,4412,2120,5419,3784,2452,2615,3325,2493,4654
"AZIN1",25318,52856,31619,41110,15724,43575,42034,47468,42171,26420,19624,315221,33595,39523,97401,27440,13881,46527,13387,29641,85543,24771,30234,25669,19077,52208,22040,49354,25812,31098,40995,23512,65124,29047,31470,35759
"AZU1",28,6,2,128,5,22,26,20,7,2,4,83,12,90,2,17,8,5,4,15,23,32,8,16,26,15,22,41,13,29,0,1,29,9,10,14
"B2M",34039,118845,117836,20120,90145,324475,21706,118798,134259,90166,58928,16133,91218,129903,173966,54846,56817,60812,64982,71608,341542,140569,304132,202606,230073,85645,74051,152051,411220,95693,126020,171663,72766,67179,179613,62281
"B3GALNT1",1879,3122,4225,738,872,3,5240,12,8985,13,4222,5578,4,2122,8,1194,958,2046,15,1246,2790,889,492,14,1523,2898,8,392,798,23123,2228,4910,2522,1,1292,3120
"B3GALNT2",3772,2145,2727,7925,4206,3720,7829,3799,5779,2306,5379,3916,2484,3985,4735,2558,5431,4105,2198,2991,7469,4914,4656,5431,3778,3572,3607,6269,3215,9152,5833,1617,2976,4414,2431,2432
"B3GALT1",9,1073,4,13,0,32,0,0,3058,4,0,22,7,2,0,0,3,2,39,0,10,1,2,0,1,11,3,3,8,6790,2,1,50,2,13,0
"B3GALT2",303,2,11,1406,12,9,25,10,205,7,5,67,10,10,0,9,40,2,4,14,10,2427,15,7,4,181,2,11,92,2,0,9,2,6,6,7
"B3GALT4",253,29,45,611,106,576,375,642,859,654,93,120,127,352,972,795,54,1621,395,544,436,426,126,890,294,2380,17,820,2171,49,699,743,815,459,1274,108
"B3GALT5",38,403,127,161,45,11,59,369,1192,664,6,14128,1186,291,49,142,7,3638,78,12610,4710,13396,9772,1230,3,103,10,20687,209,10,30,670,78,17837,113,16683
"B3GALT6",8825,3678,4378,7154,1739,2777,4032,5294,5382,1557,4451,1888,2189,5072,3471,1752,4217,3112,1899,4517,3719,3202,5780,2504,3267,6806,2993,5180,3566,2568,6636,2043,1811,3395,2773,3268
"B3GAT1",677,6,2,12590,79,49,1690,82,21,98,20,1,62,1149,222,76,75,30,85,286,1372,378,34,6,38,72,39,51,4,336,10,130,80,293,42,1577
"B3GAT2",87,157,53,98,205,138,285,61,172,31,58,215,24,65,65,49,56,70,46,64,357,111,53,114,91,258,107,126,2,127,191,127,167,99,73,97
