"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"UMPS",5487,7014,5932,5696,3242,10338,6530,8273,5838,11479,9690,3728,4750,7389,6885,9219,8605,15818,5989,6334,22930,7544,9153,12406,3763,8852,3590,6258,10480,9543,11704,9748,5461,7542,5169,13308
"UNC119",16682,5754,1657,5508,2020,1865,3820,2053,2346,516,7733,1808,3566,14465,3347,4832,3773,4477,1811,1824,11128,1730,3333,5169,2011,10861,2448,2740,7093,7043,5700,2831,2481,2124,1861,3262
"UNC119B",13140,10997,7804,7550,7976,7238,9000,6899,30764,22334,8773,11442,11988,8897,7979,7769,5818,34998,9332,7727,16117,7048,9361,11030,8163,9270,6731,8798,15499,13593,11960,4328,7441,9688,4646,9719
"UNC13A",685,41,20,65048,92,1101,154,26,32818,7,93,322,198,7812,467,18,132,51,14,92,235,24,1664,40,2188,1308,28,108,413,113138,53,32,197,24,318,35054
"UNC13B",9104,10643,3633,5281,3770,12275,6618,24192,48903,16476,6094,9024,3767,9975,22550,5541,13309,2433,24080,4813,13675,4276,4741,7278,2996,11708,5361,4819,2716,8311,9908,7355,3257,22589,4708,3552
"UNC13C",1001,38,4,25,0,1,2,0,8,0,33,41,2,0,10,0,9,0,0,13,2,0,0,1,0,76,0,0,3,0,66,2,3,0,2,6
"UNC13D",39309,720,360,253,174,14676,226,1188,706,9403,180,899,34587,8871,31558,190,80,11225,1150,12838,19368,671,952,17612,259,44646,379,10138,23051,397,63986,9165,13499,395,19595,631
"UNC45A",17775,10948,8052,16174,7369,16862,7579,11203,11691,8753,14104,8392,8916,8134,14333,13900,11781,10313,4137,12027,20968,13123,9533,12459,10716,21607,7704,17007,15715,8823,18920,8512,11211,11952,10711,16023
"UNC45B",26,3,0,5,4,0,2,0,1,0,0,4,1,3,3,1,2,2,1,2,1,1,3,0,1,58,0,1,1,9,1,0,1,1,2,6
"UNC50",4679,2875,3473,4113,1904,3963,4832,5538,6167,2709,5640,1073,2542,5092,5883,4423,3632,4082,4407,3301,8126,3123,5783,3499,4062,6747,3392,5465,6427,5205,3642,1992,6405,2993,2079,4437
"UNC5A",274,489,5,2476,37,167,190,4,145,2,4,103,516,1528,98,15,123,63,26,62,9,9,69,12,1355,75,9,1930,91,429,5,9,1264,4,29,171
"UNC5B",10661,251,3996,7031,3830,33,12279,4343,523,3600,12455,572,5307,2767,2481,1281,13011,5860,403,11400,22475,3524,884,2114,207,21270,2610,192,5424,4649,2991,4606,105,10446,89,2064
"UNC5B-AS1",4,6,0,22,53,0,2,6,3,14,1,2,0,24,75,0,3,20,18,4,751,79,2,227,0,13,2,4,188,0,2,99,6,62,1,110
"UNC5C",982,87,68,5,10,11,638,27,222,2,2,900,2,22,2,68,5265,128,8,158,129,8,18,17,9,6792,12,133,6,3327,10,10,7,5,4,113
"UNC5CL",86,154,44,121,89,3164,142,9371,334,2861,1354,721,21,36,103,2895,117,2618,916,264,832,915,83,1264,24,66,2745,67,86,320,27091,149,23,1201,109,1711
"UNC5D",11,10,0,0,1,0,0,2,26,0,1,0,0,27,0,0,152,1,0,0,0,0,0,1,0,15,0,0,2,0,4,1,32,5,0,0
"UNC79",89,81,21,564,54,6,27,29,10347,32,38,101,20,52,102,32,50,26,17,23,29,48,19,13,16,108,28,85,216,18,121,19,10,12,58,49
"UNC80",871,358,47,13,15,6,7,15,18095,1,6,102,4,14,18,42,0,7,7,1,11,3,4,4,6,35,2,26,9,2,12,5,3,1,13,12
"UNC93A",93,6,1,0,3,515,8,560,15,21,356,0,2,22,0,43,2,19,0,2087,67,25,0,79,4,17,0,0,3,0,101,23806,0,251,2,68
"UNC93B1",3419,1870,2937,2631,3145,6364,4939,9565,350,8444,2284,4446,2258,7268,10028,14464,1690,12829,8704,11643,12578,13402,25980,9623,7942,3676,3434,18976,9394,2432,6821,7071,5490,10210,7889,6676
"UNCX",14,4,2,10,2,4,16,3,1,1,0,2,1,3,1,2,10,4,3,1,0,0,6,4,2,4,1,3,5,1,1,2,0,1,0,2
"UNG",22382,10489,10254,7682,5858,8786,10599,13230,14559,9134,20527,6955,6284,11582,4652,12162,7759,18160,6011,18490,28937,8173,7834,16218,7294,8928,4512,7467,15765,17005,7553,5730,8659,12171,9209,7506
"UNK",6767,7793,5353,8194,2179,3270,5118,5687,10507,4019,3603,2667,2238,3087,3887,3564,7597,4115,4084,3846,6783,4171,9366,2872,5579,11944,3293,4562,7516,7178,4713,3666,1801,3499,1660,4587
"UNKL",3480,4616,3752,4002,2379,1245,5684,2293,2494,1663,6280,4079,3252,4901,2848,2212,6891,4951,2816,2626,7345,3859,3998,2091,5671,5988,3634,6061,6729,7138,3707,3400,2534,1896,4192,1903
"UPB1",25,20,0,25,3,7,1,2,306,4,1024,34,57,2,7,2,1,8,4,30,14,10,0,3,3,12,10,40,35,21,17,2,5,2,89,6
"UPF1",55846,25658,12446,27552,7659,21679,11545,26124,26754,13049,26351,15624,12843,27187,21910,23906,23889,20303,9945,23710,57066,15866,22954,25489,12500,30643,13062,19213,35036,19533,26259,9823,6524,13430,23398,30632
"UPF2",9272,8767,9086,5510,6250,16295,8831,8612,12988,7237,6591,11110,11079,6613,13490,7675,19116,7923,4667,9704,26281,6685,9823,7926,5220,5152,5359,8079,7313,12073,11697,6116,9410,9159,4642,10219
"UPF3A",7876,4121,4801,7383,3187,6849,13008,8086,24898,5111,8400,3763,2687,6245,6370,8453,7220,7184,3165,8682,12589,16179,6570,8597,3985,12434,8951,7644,5097,12679,12447,4252,4737,5418,3241,6225
"UPF3B",4358,4588,3063,5762,2187,2683,13589,5133,7338,2824,2133,3938,3082,6108,6703,7825,7628,8833,2974,7390,10104,6006,4085,6478,2873,3705,2298,5118,2896,3896,7049,4590,7107,3385,2828,5072
"UPK1A",591,0,6,246,4,8,218,9,6,2,410,4,0,137,8,2,0,4,3,3,74,4,2,10,3,2115,102,17,166,17,2,3,6,3,110,2
"UPK1A-AS1",67,0,3,83,2,0,62,0,1,0,172,0,0,69,2,2,0,0,1,2,25,1,0,1,1,31,1,1,20,3,2,0,1,0,21,0
"UPK1B",3227,3,15,9,51,5,40,9,63,10,11,2328,23,19,716,12,6,21,2025,1306,4542,8,7,5,0,17785,3,151,37,5,29,4,9,20,15785,87252
"UPK2",6625,16,1,9,4,9,12,5,8,11,4,6,7,104,3650,62,7,85,16,12,743,139,112,283,8,12180,19,1385,3480,8,143,46,1300,9,9783,12
"UPK3A",3,0,0,1,11,0,0,0,103,7,749,14,0,6,0,88,0,17,0,127,2,33,1,1,0,0,0,69,0,0,4,24,2,4,0,0
"UPK3B",2716,27,82,31,39,136,20,156,39,38,10,404,59,12804,455,219,43,87,6003,163,32641,997,5389,1257,83,191,146,5463,443,20,2054,387,4658,401,1125,14247
